"plugin.video.aod";"Anime;on;Demand";"0.6.5";"L0RE"
"plugin.video.ran_de";"ran";"2.3.7";"PUR3,;L0RE,;Linkinsoldier"
"plugin.video.L0RE.hsv";"Hamburger;SV;Mediathek";"0.2";"L0RE"
"repository.kodinerds_Generic_x68_64";"kodinerds.net;Binary;Addons;for;Generic;Linux";"1.0.3";"L0RE"
"script.service.gto";"German;Telecast;Offers";"2.1.9";"Birger;Jesch"
"plugin.video.magine";"Magine";"0.3.13";"L0RE"
"plugin.video.wtatv";"0.1.0";"WTA;TV";"Jin"
"plugin.video.L0RE.bvbtotal";"Borussia;Dortmund;Mediathek";"0.1.2";"L0RE"
"plugin.video.L0RE.filmfriend";"Filmfriend;(dev)";"0.1.5";"L0RE"
"plugin.video.L0RE.disneychannel";"Disney;Channel;Deutschland";"0.1.2";"L0RE"
"repository.kodinerds_S905";"kodinerds.net;Binary;Addons;for;AML;S905;based;devices";"1.0.3";"L0RE"
"script.module.3to2";"3to2";"1.1.1";"Python;software;foundation"
"plugin.video.tyl0re.arte";"ARTE.TV;[COLOR;FF00EE00](neu)[/COLOR]";"1.0.1";"L0RE,;realvito"
"plugin.program.newscenter";"NewsCenter";"0.0.9";"NewsCenter"
"plugin.video.L0RE.arte";"ARTE.TV";"0.7.0";"L0RE"
"repository.kodinerds_RPi2";"kodinerds.net;Binary;Addons;for;Rasperry;2+3";"1.0.3";"L0RE"
"plugin.video.spotitube";"Youtube;Music";"2.1.7";"realvito;(inspired;by;L0RE)"
"plugin.video.deluxemusic";"1.0.5";"Deluxe;Music";"M.;King"
"plugin.video.dokustreams.de";"Dokustreams.de";"1.0.4";"itouch5000"
"plugin.video.bundesliga3";"3.;Liga";"0.3.18";"L0RE"
"script.module.past";"past";"0.16.0";"Ed;Schofield"
"plugin.video.tyl0re.dmax";"DMAX;Mediathek;[COLOR;FF00EE00](neu)[/COLOR]";"2.1.2";"L0RE,;realvito"
"plugin.video.tyl0re.tlc";"TLC;Mediathek;[COLOR;FF00EE00](neu)[/COLOR]";"2.0.6";"L0RE,;realvito"
"script.game.yahtzee";"Yahtzee;Game";"0.4.1";"Mark;Koenig"
"plugin.video.filmstarts";"FILMSTARTS.de";"1.0.3";"L0RE"
"repository.kodinerds_WIN_32";"kodinerds.net;Binary;Addons;for;Windows";"1.0.3";"L0RE"
"service.smartdns";"SmartDNS;Updater";"1.0.4";"Steffen;Rolapp"
"plugin.video.L0RE.premiershiprugby";"Premiership;Rugby";"0.3.0";"L0RE"
"resource.uisounds.destiny";"1.0.3";"Destiny;UI;Sounds;(Normal)";"Jugger"
"resource.images.addonicons.color";"Alternative;Addon;Icons";"1.2.1";"Barney;Stinsen"
"plugin.video.L0RE.spiegeltv";"SPIEGEL.TV";"1.0.2";"L0RE"
"service.rytecepgdownloader";"Rytec;EPG;Downloader";"18.1.3";"Jin"
"script.module.oauthlib";"oauthlib";"2.0.1";"Idan;Gazit"
"plugin.video.giga_de";"GIGA.de";"2.2.2";"L0RE"
"skin.moddedconfluence.4";"Confluence-MOD;Vol.;4.2;(Beta)";"mad-max;/;blauesgruen;(credits;Team-XBMC)";"1.3.5"
